Number,Summary Nr,Report ID,Fatality,NAICS,Event Description,Abstract,Keywords,End User,Project Type,Project Cost,Non building height,Fatality.1,Age,Sex,Degree of injury,occpation,Max T,Min T,Dew Max,Dew Min,Max Wind Speed,Sea Level Pressure (in),Time,Temperature,Dew Point,Humidity,Wind,Pressure,Precip.,Condition,ZipCode,State,Season,Wind Speed,Wind Gust,Latitude,Longitude,Location,Event Date,Cloudcover,Visiblity,Solar Radiation,Solar Energy,UV Index
453,112586,418800,,238160,Employee Falls From Roof And Incurs Herniated Disk,"Abstract: At 12:00 p.m. on January 10, 2019, an employee was working on a roof and at some point slipped, lost his balance and fell approximately seventeen feet. The employee was hospitalized for a herniated disk.","Keywords: Back, Fall, Fall Protection, Lost Balance, Roof, Slip",,,,,,63,M,Hospitalized injury,Roofers,67,53,54.0,26.0,12,30.01,12:00:00,60 °F,30 °F,32 %,NW,30.09 in,0.0 in,Fair,33146,FL,Winter,12 mph,16 mph,25.7210812,-80.2717664,FL 33146,2019-01-10,,,,,
454,112420,419700,X,238160,Employee Falls From A Roof And Is Killed,"Abstract: At 5:00 p.m. on January 7, 2019, an employee unhooked his lanyard and was about to egress from the roof via ladder. Te employee lost his footing, slid off of the roof and fell 42 feet. He struck a palm tree then continued to fall to the surface. The employee was killed.","Keywords: Fall, Palm Tree, Roof",Multi-family dwelling,Alteration or rehabilitation,,42,X,31,M,Fatality,Roofers,69,43,56.0,41.0,9,30.18,17:00:00,66 °F,55 °F,68 %,nan,30.11 in,0.0 in,Fair,32456,FL,Winter,,,29.8855314,-85.36772,FL 32456,2019-01-07,,,,,
455,113265,420600,,238160,"Employee Working From Ladder Falls, Fractures Both Heels","Abstract: At 12:00 p.m. on December 22, 2018, Employee #1, employed by a roofing contractor, was working from a ladder and measuring the roof of a commercial building. As the employee reached to the right, he fell. The employee was transported to the hospital and admitted for treatment of fractures to both heels.","Keywords: Construction, Fall, Fall Protection, Foot, Fracture, Ladder, Leaning over, Measuring Device, Roof, Roofer",Commercial building,Maintenance or repair,,12,,33,M,Hospitalized injury,Roofers,64,45,48.0,38.0,16,30.18,12:00:00,57 °F,45 °F,64 %,W,30.13 in,0.0 in,Fair,32901,FL,Winter,14 mph,0 mph,28.0758771,-80.6225545,FL 32901,2018-12-22,,,,,
456,112018,419700,,238160,Employee Slips And Falls Off Ladder And Fractures Vertebrae,"Abstract: At 3:00 p.m. on December 18, 2018, an employee was standing on a ladder while securing the ladder with rope prior to accessing a roof. At some point, the employee's foot slipped off the ladder rung and the employee fell approximately eleven feet. The employee was hospitalized for a fractured vertebra.","Keywords: Climbing on Ladder, Fall, Foot, Fracture, Ladder, Roof, Rope, Slip, Vertebra",Other building,Alteration or rehabilitation,,11,,32,M,Hospitalized injury,Roofers,69,46,50.0,43.0,7,30.11,15:00:00,67 °F,47 °F,49 %,VAR,30.03 in,0.0 in,Fair,32137,FL,Winter,3 mph,0 mph,29.5744449,-81.2196183,FL 32137,2018-12-18,,,,,
457,111801,418100,X,238160,Employee Falls Through Roof While Stepping On Rotted Board A,"Abstract: At 4:30 a.m. on December 13, 2018, an employee was working with several coworkers in tearing off an old roof from a building. The employee moved to grab the insulation that was lifted by one of his coworkers. He stepped onto a rotted board, and he fell approximately 40 feet when the board gave way. The employee was killed.","Keywords: Fall, Roof",Commercial building,Alteration or rehabilitation,,40,X,42,M,Fatality,Roofers,52,39,37.0,30.0,16,29.12,16:30:00,51 °F,35 °F,54 %,E,29.04 in,0.0 in,Cloudy,30093,GA,Winter,9 mph,0 mph,33.9182044,-84.1657694,GA 30093,2018-12-13,,,,,
458,111776,418300,X,238160,Employee Is Killed In Falls Through Roof,"Abstract: At 9:30 a.m. on December 12, 2018, an employee was examining a section of roof that needed to be repaired and he fell through the roof. The employee was killed when he landed on the concrete floor 20 feet below.","Keywords: Concrete Slab, Fall, Roof",Commercial building,Maintenance or repair,,20,X,37,M,Fatality,Roofers,54,30,35.0,23.0,12,29.95,09:30:00,34 °F,31 °F,89 %,CALM,29.59 in,0.0 in,Cloudy,35150,AL,Winter,0 mph,0 mph,33.1799843,-86.2601186,AL 35150,2018-12-12,,,,,
459,111430,418800,,238160,"Employee Falls From Roof, Sustains Head And Back Injuries","Abstract: At 9:30 a.m. on November 30, 2018, Employee #1, employed by a roofing company, was preparing to repair the roof of a residential structure. He fell through a screen, from the roof to the concrete patio, a fall height of 17 feet. The employee was transported to the hospital, admitted, and treated for head and back injuries.","Keywords: Back, Concrete, Fall, Fall Protection, Head, Repair, Residential Construction, Roof, Roofer, Screen",,,,,,50,M,Hospitalized injury,Roof Repair: Sheet Metal,76,64,66.0,57.0,13,30.16,09:30:00,67 °F,59 °F,76 %,N,30.14 in,0.0 in,Mostly Cloudy,33178,FL,Fall,5 mph,0 mph,25.8323413,-80.3698285,FL 33178,2018-11-30,,,,,
460,111429,419700,,238160,Employee Falls From Roof And Sustains Multiple Injuries,"Abstract: At 9:30 a.m. on November 29, 2018, Employee #1, employed by a roofing company, was engaged in roofing activity at a two-story multifamily residential structure. He was attempting to install a fall protection anchor on top of the structure's roof, which had a pitch of 7:12. The employee's feet became entangled in an air hose, and he lost his balance and fell, a fall height of 20 feet. Emergency services transported the employee to the hospital, where he was admitted and treated for multiple fractured ribs, a fractured pelvis, and a collapsed lung.","Keywords: Air Hose, Anchor, Collapsed lung, Entangled, Fall, Fall Protection, Fracture, Installing, Lost Balance, Pelvis, Residential Construction, Rib",Multi-family dwelling,New project or new addition,,,,33,M,Hospitalized injury,Roofers,58,39,45.0,31.0,12,30.24,09:30:00,39 °F,33 °F,79 %,NW,30.22 in,0.0 in,Fair,32084,FL,Fall,6 mph,0 mph,29.8980099,-81.326711,FL 32084,2018-11-29,,,,,
461,111487,418300,,238160,"Employee Fractures Ribs, Pelvis And Skull In Fall From Ladde","Abstract: At 8:00 a.m. on November 26, 2018, an employee was working from a ladder. At some point, the ladder slipped out and caused the employee to lose his balance and fall fourteen feet. The employee was hospitalized for fractured ribs, pelvis and skull.","Keywords: Fall, Fracture, Ladder, Lost Balance, Pelvis, Rib, Skull, Slip",Single family or duplex dwelling,Maintenance or repair,,14,,39,M,Hospitalized injury,Construction laborers,57,32,48.0,27.0,24,29.42,08:00:00,39 °F,29 °F,67 %,WNW,29.31 in,0.0 in,Cloudy,35242,AL,Fall,12 mph,0 mph,33.4138294,-86.6773066,AL 35242,2018-11-26,,,,,
462,111883,418800,,238160,Employee Accessing Roof Falls And Fractures Spine,"Abstract: At 10:00 a.m. on November 20, 2018, Employee #1, employed by a construction company, was engaged in roofing repair work at a one-story multifamily residential structure. He was attempting to access the roof from an adjacent wall when he lost balance and fell, a fall height of 6 feet. The employee was transported to the hospital, admitted, and treated for a fracture to the upper (thoracic) spine.","Keywords: Access/Egress, Back, Carpenter, Fall, Fall Protection, Fracture, Lost Balance, Maintenance, Repair, Residential Construction, Roof, Roofer, Spine, Vertebra",Multi-family dwelling,Maintenance or repair,,6,,40,M,Hospitalized injury,Roofers,84,69,73.0,69.0,12,30.09,10:00:00,76 °F,72 °F,87 %,CALM,30.08 in,0.0 in,Partly Cloudy,33404,FL,Fall,0 mph,0 mph,26.7808996,-80.0683498,FL 33404,2018-11-20,,,,,
463,113878,419700,X,238160,Employee Falls From Single Story Roof And Is Killed,"Abstract: At 9:45 a.m. on November 19, 2018, an employee was throwing shingles off the edge of a house. The employee lost his footing and fell from the roof to the concrete driveway below and was killed.","Keywords: Fall, Roof",Single family or duplex dwelling,Maintenance or repair,,10,X,28,M,Fatality,Roofers,70,56,62.0,56.0,7,30.13,09:45:00,61 °F,60 °F,97 %,N,30.12 in,0.0 in,Fog,32099,FL,Fall,7 mph,0 mph,30.336769,-81.766862,FL 32099,2018-11-19,,,,,
464,111059,419700,,238160,Employee Fractures Both Legs And Feet In Fall From Roof,"Abstract: At 1:00 p.m. on November 8, 2018, an employee was installing a metal ridge cap to the roof of a single family home when, at some point, the employee lost his balance and fell ten feet. The employee received fractures to both legs and feet and was hospitalized.","Keywords: Fall, Fall Protection, Foot, Fracture, Installing, Leg, Roof, Roofer",Single family or duplex dwelling,Maintenance or repair,,10,,31,M,Hospitalized injury,Roof Repair: Sheet Metal,78,69,70.0,66.0,8,29.98,13:00:00,76 °F,68 °F,76 %,SSE,29.94 in,0.0 in,Cloudy,32444,FL,Fall,6 mph,0 mph,30.2302124,-85.640014,FL 32444,2018-11-08,,,,,
465,110732,419700,,238160,Employee Receives Arm Fracture In Fall From Roof,"Abstract: At 10:30 a.m. on November 2, 2018, an employee was preparing to move to the other side of a single story roof. As he walked, the employee slipped on plywood and fell eight feet. The employee was taken to a local hospital to treat an arm fracture.","Keywords: Arm, Fall, Fall Protection, Fracture, Roof, Roofer",Single family or duplex dwelling,New project or new addition,,8,,30,M,Hospitalized injury,Roofers,83,66,73.0,66.0,25,29.92,10:30:00,77 °F,73 °F,88 %,SSW,29.87 in,0.0 in,Mostly Cloudy,32168,FL,Fall,10 mph,20 mph,29.0254021,-80.9786972,FL 32168,2018-11-02,,,,,
466,110350,418100,X,238160,Employee Is Killed When Driving Atv Off Roof,"Abstract: At 1:30 p.m. on October 23, 2018, an employee was moving roofing material from one place to another on an elevated flat roof using an ATV with a trailer hitch when he drove off of the roof. The employee was ejected from the ATV and fell approximately 40 feet before landing on the pavement. The employee was killed.","Keywords: ATV, Ejected, Fall, Roof",Commercial building,New project or new addition,,40,X,38,M,Fatality,Roofers,69,54,50.0,40.0,9,29.14,13:30:00,67 °F,50 °F,54 %,W,29.13 in,0.0 in,Mostly Cloudy,30517,GA,Fall,5 mph,0 mph,34.1216044,-83.785008,GA 30517,2018-10-23,,,,,
467,110231,454714,,238160,Employee Incurs Multiple Injuries In Fall Through Skylight W,"Abstract: At 7:30 a.m. on October 15, 2018, an employee walked to the southwest corner of the roof to retrieve tools. At some point, the employee fell eighteen feet through a skylight. The employee was hospitalized for fractures to his back and legs and unspecified head trauma injury.","Keywords: Back, Fall, Fall Protection, Fracture, Head, Leg, Roof, Roofer, Skylight, Traumatic",Commercial building,Maintenance or repair,,18,,32,M,Hospitalized injury,Roofers,79,55,68.0,55.0,14,29.1,07:30:00,57 °F,57 °F,100 %,CALM,29.05 in,0.0 in,Partly Cloudy,37909,TN,Fall,0 mph,0 mph,35.9456648,-84.022437,TN 37909,2018-10-15,,,,,
468,110029,454716,X,238160,Employee Falls From Roof As Decking Collapses And Strikes He,"Abstract: At 9:15 a.m. on October 14, 2018, an employee was replacing metal roof systems and moved towards the center of the structure to retrieve some tools. The employee fell 23 feet when the decking underneath him collapsed and the employee was killed when he struck his head on the concrete floor.","Keywords: Collapse, Concrete Slab, Decking, Fall, Head, Roof, Struck Against",Commercial building,Alteration or rehabilitation,,23,X,36,M,Fatality,Roofers,62,49,59.0,46.0,5,28.55,09:15:00,52 °F,52 °F,100 %,CALM,28.53 in,0.0 in,Light Rain,37809,TN,Fall,0 mph,0 mph,36.1572938,-83.0225164,TN 37809,2018-10-14,,,,,
469,109701,418300,,238160,Employee Experiences Seizure While Working On Roof,"Abstract: At 10:45 a.m. on October 1, 2018, an employee was working on a roof installing clips to metal panels when he began to start tripping, stumbling, mumbling and moving to the edge of the roof. The employee's coworkers placed the employee onto a scissors lift and brought him to ground level where he began to walk backwards, trip and fall. The coworkers took the employee to his truck where the employee began to have a seizure and the coworkers called for emergency medical services, who took him to the hospital for treatment.","Keywords: Fall, Head, Installing, Roof, Tripped",Commercial building,New project or new addition,,16,,33,M,Fatality,Construction laborers,85,71,71.0,67.0,10,29.86,10:45:00,78 °F,69 °F,74 %,SE,29.86 in,0.0 in,Mostly Cloud,35677,AL,Fall,8 mph,0 mph,34.9421351,-87.9919475,AL 35677,2018-10-01,,,,,
470,109584,420600,X,238160,Employee Falls Through A Skylight And Is Killed,"Abstract: At 11:00 a.m. on September 26, 2018, an employee was tearing off a roof preparing to install a new metal roof. Employee stepped on skylight and fell to the concrete floor, resulting in blunt force trauma. The employee was killed.","Keywords: Fall, Roof, Skylight",Commercial building,Alteration or rehabilitation,,26,X,30,M,Fatality,Roofers,93,80,77.0,70.0,9,30.08,11:00:00,87 °F,76 °F,69 %,SSW,30.06 in,0.0 in,Partly Cloudy,33619,FL,Fall,6 mph,0 mph,27.9403279,-82.3737456,FL 33619,2018-09-26,,,,,
471,109329,418200,,238160,Three Employees Are Injured In Fall Due To Roof Collapse,"Abstract: At 11:30 a.m. on September 18, 2018, a crew of three employees were working on the roof of a new construction home applying shingles without using fall protection. While working, the roof collapsed and the employees fell twenty four feet. Employee #1 received leg fractures, Employee #2 received fractures to his spine, and Employee #3 received fractures to his ribs; all employees were hospitalized for their injuries.","Keywords: Back, Collapse, Fall, Fall Protection, Fracture, Installing, Leg, Rib, Roof, Roof Collapse, Roofer, Spine, Vertebra",Single family or duplex dwelling,New project or new addition,,17,,30,M,Hospitalized injury,Roofers,92,72,69.0,64.0,12,28.93,11:30:00,83 °F,68 °F,60 %,NW,28.93 in,0.0 in,Fair,30101,GA,Fall,7 mph,0 mph,34.0430074,-84.717169,GA 30101,2018-09-18,,,,,
472,109315,420600,,238160,Employee Fractures Vertebrae In Fall From Roof,"Abstract: At 10:45 a.m. on September 15, 2018, an employee was working as a roofer completing the final mudding of roof tiles. As the employee walked across the tiles, one of them cracked and shifted causing the employee to lose balance and fall from the roof. The employee received multiple lumbar vertebrae fractures and was hospitalized.","Keywords: Back, Fall, Fall Protection, Fracture, Lost Balance, Roof, Roofer, Vertebra, Walking Surface",Single family or duplex dwelling,New project or new addition,,14,,38,M,Hospitalized injury,Roofers,89,79,79.0,75.0,15,29.9,10:45:00,85 °F,78 °F,80 %,SSE,29.89 in,0.0 in,Partly Cloudy,33914,FL,Fall,3 mph,0 mph,26.5745545,-82.0019852,FL 33914,2018-09-15,,,,,
473,109185,418800,,238160,Employee Is Injured When Forklift Snags Rope Attached To Har,"Abstract: At 1:05 p.m. on September 11, 2018, an employee was working on a roof wearing a full-body harness that was attached to a rope which was anchored at ground level. A forklift, entering the dock area below snagged a wheel onto the rope and pulled thirty feet off of the roof. The employee received unspecified injuries and was hospitalized.","Keywords: Anchor, Dragged, Fall, Fall Protection, Forklift, Powered Industrial Vehicle, Roof, Roofer, Rope, Wheel",Commercial building,Maintenance or repair,,30,,45,M,Hospitalized injury,"Laborers, except construction",89,79,77.0,72.0,10,30.01,13:05:00,86 °F,77 °F,74 %,E,30.00 in,0.0 in,Mostly Cloudy,33037,FL,Fall,8 mph,0 mph,25.1430614,-80.4037922,FL 33037,2018-09-11,,,,,
474,108931,420600,X,238160,Employee Falls Through Skylight Opening On Roof And Is Kille,"Abstract: At 3:30 p.m. on September 4, 2018, an employee was using an aerial lift to install insulation to the interior walls and roof of an aviation hangar. At some point, the employee was in the process of moving the aerial lift to a new location when the wheels went into a two foot deep excavation. The aerial lift rolled-over and the employee, who was attached to the basket with a personal fall arrest system, fell to the floor with the basket. The employee received multiple leg fractures and was hospitalized.","Keywords: Aerial Lift, Fall, Fall Protection, Fracture, Installing, Leg, Operating, Operator, Roll-Over, Trench",Other building,Alteration or rehabilitation,,45,X,30,M,Hospitalized injury,Roofers,90,74,76.0,65.0,17,30.04,15:40:00,85 °F,76 °F,74 %,ESE,29.99 in,0.0 in,Mostly Cloudy,33912,FL,Fall,10 mph,0 mph,26.519665,-81.8301709,FL 33912,2018-09-04,,,,,
475,109221,418800,,238160,Employee Fractures Leg In Aerial Lift Roll-Over,"Abstract: At 8:30 a.m. on September 4, 2018, an employee was preparing the roof for the removal of old roof shingles and stepped through a skylight opening that was removed the previous week. The employee fell 23 feet and was killed from blunt force head trauma when he struck the concrete floor.","Keywords: Concrete Slab, Fall, Roof, Roof Opening, Skylight",Commercial building,Maintenance or repair,,23,,33,M,Fatality,Roofers,87,80,82.0,76.0,18,30.06,08:30:00,82 °F,78 °F,88 %,E,30.03 in,0.0 in,Mostly Cloudy,33315,FL,Fall,7 mph,0 mph,26.0926351,-80.1521195,FL 33315,2018-09-04,,,,,
476,109055,420600,,238160,Employee Receives Facial Injuries In Fall From Roof,"Abstract: At 11:00 a.m. on August 31, 2018, an employee was installing new shingles as part of a roofing work. At some point, the employee fell off of the roof and struck an eight foot concrete wall. The employee received a jaw fracture and laceration to his lip.","Keywords: Fall, Fall Protection, Fracture, Head, Installing, Jaw, Laceration, Roof, Roofer, Struck Against, Wall",Single family or duplex dwelling,Maintenance or repair,,8,,42,M,Hospitalized injury,Roofers,90,75,75.0,71.0,17,30.04,11:00:00,87 °F,74 °F,65 %,E,30.04 in,0.0 in,Fair,34114,FL,Summer,13 mph,0 mph,26.0415075,-81.6564805,FL 34114,2018-08-31,,,,,
477,108797,418800,X,238160,Employee Falls From Roof And Is Killed,"Abstract: At 11:30 a.m. on August 31, 2018, an employee was installing drip edge. The employee was going to come down and unhooked himself from his lanyard. He slipped and fell from the roof approximately 24 feet, resulting in a trauma to the head, neck and back. The employee was killed.","Keywords: Fall, Fall Protection, Installing, Roof",Multi-family dwelling,Maintenance or repair,,24,X,37,M,Fatality,Roofers,89,72,77.0,70.0,21,30.03,11:30:00,85 °F,77 °F,77 %,ESE,30.03 in,0.0 in,Fair,34243,FL,Summer,14 mph,0 mph,27.4037958,-82.5172841,FL 34243,2018-08-31,,,,,
478,108734,420600,,238160,Employee Slips And Falls Off Roof And Fractures Leg,"Abstract: At 2:30 p.m. on August 24, 2018, an employee was walking on a roof and at some point slipped and fell twelve feet. The employee was hospitalized with a leg fracture.","Keywords: Fall, Fall Protection, Fracture, Leg, Roof, Roofer, Slip, Walking Surface",Single family or duplex dwelling,New project or new addition,,12,,23,M,Hospitalized injury,Roofers,91,75,76.0,71.0,12,30.04,14:30:00,89 °F,75 °F,63 %,WSW,29.98 in,0.0 in,Partly Cloudy,33556,FL,Summer,12 mph,0 mph,28.1264297,-82.5892939,FL 33556,2018-08-24,,,,,
479,108675,420300,,238160,Employee Incurs Multiple Injuries In Fall From Roof,"Abstract: At 2:30 p.m. on August 23, 2018, an employee was crawling on hands and knees while probing a roof seam. When the employee stood up, he became dizzy and fell backwards twelve feet off of the roof. The employee received fractures to unspecified body parts, and lacerations and contusions to his head and was hospitalized.","Keywords: Contusion, Fall, Fall Protection, Fracture, Head, Inspecting, Laceration, Roof",Commercial building,Maintenance or repair,,12,,51,M,Hospitalized injury,Roofers,85,70,75.0,58.0,16,30.08,14:30:00,84 °F,64 °F,51 %,NNE,30.01 in,0.0 in,Partly Cloudy,28461,NC,Summer,9 mph,0 mph,33.8953109,-78.0084657,NC 28461,2018-08-23,,,,,
480,108457,419700,X,238160,Employee Strikes Lower Roof During Fall From Upper Roof And,"Abstract: At 8:15 p.m. on August 18, 2018, the employee was walking to a ladder while on a residential roof and had been preparing to climb down. The employee unfastened his safety lanyard and lost his balance, falling off of the top roof and struck a lower roof during his fall to the ground. The employee was killed.","Keywords: Fall, Lanyard, PPE, Roof, Struck Against",,Maintenance or repair,,19,X,34,M,Fatality,Roof Repar: Shingle,90,74,78.0,69.0,9,30.14,20:15:00,83 °F,76 °F,79 %,SE,29.99 in,0.0 in,Partly Cloudy,32168,FL,Summer,5 mph,0 mph,29.0254021,-80.9786972,FL 32168,2018-08-18,,,,,
481,113407,420600,,238160,Employee Falls Through Skylight And Fractures Skull,"Abstract: On August 15, 2018, Employee #1, employed by a roofing contractor, was working on the roof of a one-story commercial building. He was installing a metal frame system to the existing roof as part of a new decking installation. The employee, who was not using fall protection, fell through an unprotected skylight, a fall height of 18 feet, and struck his head against the concrete surface. Emergency services transported the employee to the hospital, where he was admitted for treatment of a fractured skull.","Keywords: Concrete Slab, Construction, Fall, Fall Protection, Fracture, Installing, Renovation, Roof Decking, Roofer, Skull, Skylight, Struck Against, Unguarded, Unprotected",Commercial building,Alteration or rehabilitation,,20,,24,M,Hospitalized injury,Sheet metal workers,90,74,76.0,71.0,12,30.08,12:00:00,88 °F,73 °F,61 %,SE,30.07 in,0.0 in,Fair,34285,FL,Summer,8 mph,0 mph,27.0963076,-82.4375826,FL 34285,2018-08-15,,,,,
482,108413,418800,,238160,Employee Falls From Roof And Fractures Leg,"Abstract: At 11:30 a.m. on August 7, 2018, Employee #1, employed by a construction company, was assigned to roofing repair work at a two-story building. He was stepping off a ladder when he fell. Emergency services transported the employee to the hospital, where he was admitted and treated for a fractured leg.","Keywords: Construction, Fall, Fall Protection, Fracture, Ladder, Leg, Repair, Roof, Roofer",Other building,Maintenance or repair,,,,34,M,Hospitalized injury,Roofers,90,0,77.0,0.0,15,30.08,11:30:00,86 °F,75 °F,70 %,SE,30.06 in,0.0 in,Mostly Cloudy,33040,FL,Summer,14 mph,0 mph,24.5642181,-81.7700444,FL 33040,2018-08-07,,,,,
483,108082,419700,,238160,Employee Falls From Roof And Fractures Leg,"Abstract: At 1:00 p.m. on August 3, 2018, an employee was working to set roof trusses in place. The employee was walking along a truss when he slipped and fell ten feet. The employee received fractures to his ribs and a leg laceration.","Keywords: Fall, Fall Protection, Fracture, Installing, Laceration, Leg, Rib, Roof, Slip, Truss, Walking On Beam",Single family or duplex dwelling,New project or new addition,,26,,51,M,Hospitalized injury,Construction laborers,90,74,79.0,72.0,12,30.08,13:00:00,89 °F,76 °F,65 %,WSW,30.07 in,0.0 in,Mostly Cloudy,34221,FL,Summer,8 mph,0 mph,27.5503278,-82.5514277,FL 34221,2018-08-03,,,,,
484,108358,420600,,238160,Employee Slips And Falls Ten Feet From Roof Truss And Fractu,"Abstract: At 9:30 a.m. on August 3, 2018, Employee #1, employed by a roofing company, was installing metal roofing to a two-story residential structure. He slipped and fell. Emergency services transported the employee to the hospital, where he was admitted and treated for a fractured right leg.","Keywords: Fall, Fall Protection, Fracture, Installing, Leg, Metal Decking, Residential Construction, Roof, Roofer, Slip, Slippery Surface",Single family or duplex dwelling,Alteration or rehabilitation,,20,,36,M,Hospitalized injury,Roofers,87,71,75.0,69.0,14,30.03,09:30:00,78 °F,71 °F,79 %,NE,30.02 in,0.0 in,Fair,32456,FL,Summer,5 mph,0 mph,29.8855314,-85.36772,FL 32456,2018-08-03,,,,,
485,108002,419700,,238160,Employee Fractures Back In Fall From Roof While Installing D,"Abstract: At 8:30 a.m. on July 31, 2018, an employee was installing a drip edge along the edge of a roof. While working, the employee slipped and fell off of the roof and struck an air conditioning unit before hitting the ground. The employee received fractures to his back and was hospitalized.","Keywords: Air Conditioner, Back, Fall, Fall Protection, Fracture, Installing, Roof, Roofer, Slip, Struck Against, Vertebra",Single family or duplex dwelling,Maintenance or repair,,8,,32,M,Hospitalized injury,Roof Repar: Shingle,88,75,78.0,73.0,18,29.93,08:30:00,78 °F,77 °F,96 %,S,29.90 in,0.0 in,Mostly Cloudy,32257,FL,Summer,7 mph,0 mph,30.1912449,-81.6022616,FL 32257,2018-07-31,,,,,
486,107872,419700,,238160,Employee Incurs Multiple Injuries In Fall From Roof,"Abstract: At 9:30 a.m. on July 24, 2018, an employee was tossing waste material, from a roofing job, off of the roof and into a dumpster. While tossing a load of trash over a warning line and off of the roof, when the employee slipped and fell twenty feet into a dumpster. The employee received several fractures, contusions, and lacerations to unspecified parts of his body and was hospitalized for his injuries.","Keywords: Contusion, Fall, Fall Protection, Fracture, Laceration, Roof, Roofer, Slip, Warning Line",Commercial building,Alteration or rehabilitation,,20,,21,M,Hospitalized injury,Roofers,87,73,77.0,73.0,23,29.92,09:30:00,79 °F,75 °F,88 %,S,29.89 in,0.0 in,Partly Cloudy,32137,FL,Summer,8 mph,0 mph,29.5744449,-81.2196183,FL 32137,2018-07-24,,,,,
487,107637,420600,,238160,Supervisor Falls From Roof And Fractures Heels,"Abstract: At 10:00 a.m. on July 12, 2018, Employee #1, a supervisor employed by a roofing company, was working on the roof of a two-story residential structure. He was measuring the roof when he slipped and fell, a fall height of 10 feet. Emergency services transported the employee to the hospital, where he was admitted and treated for fractures to both heels.","Keywords: Fall, Foot, Fracture, Measuring Device, Residential Construction, Roof, Roofer, Slip",Single family or duplex dwelling,New project or new addition,,20,,33,M,Hospitalized injury,Roof Repar: Shingle,91,76,74.0,69.0,10,30.09,10:00:00,86 °F,72 °F,63 %,CALM,30.06 in,0.0 in,Partly Cloudy,32940,FL,Summer,0 mph,0 mph,28.2283252,-80.6999877,FL 32940,2018-07-12,,,,,
488,107441,420600,,238160,Employee Falls From Roof And Breaks Foot,"Abstract: At 8:00 a.m. on July 9, 2018, Employee #1, employed by a construction company, was engaged in roofing repair activity at a one-story commercial building. He was on the roof and cutting an old metal decking panel when he fell through the opening created, a fall height of 13 feet, and landed on the concrete surface. Emergency services transported the employee to the hospital, where he was admitted and treated for a fractured foot and a sprained back.","Keywords: Back, Concrete, Construction, Cutting, Fall, Fall Protection, Floor Opening, Foot, Fracture, Metal Decking, Roof, Roof Decking, Roofer, Sprain",Commercial building,Maintenance or repair,,13,,25,M,Hospitalized injury,Roof Repair: Sheet Metal,90,79,77.0,72.0,14,30.02,08:00:00,81 °F,77 °F,88 %,NNE,30.16 in,0.0 in,Fair,33708,FL,Summer,3 mph,0 mph,27.8062216,-82.7926217,FL 33708,2018-07-09,,,,,
489,107034,454713,,238160,Employee Incurs Multiple Injuries In Fall Through Damaged Ro,"Abstract: At 9:00 a.m. on July 5, 2018, Employee #1, employed by a roofing company, was engaged in roofing repair work at a one-story commercial building. As he removed old roofing, he fell through disintegrating metal decking, a fall height of 35 feet. Emergency services transported Employee #1 to the hospital, where he was admitted and treated for multiple injuries, including possible fractures to his arms, legs, and ribs.","Keywords: Arm, Construction, Demolition, Dismantling, Fall, Fall Protection, Floor Hole, Fracture, Leg, Metal Decking, Repair, Rib, Roof, Roofer, Work Surface",Commercial building,Maintenance or repair,,35,,39,M,Hospitalized injury,Roofers,88,74,74.0,69.0,10,29.55,09:00:00,80 °F,73 °F,79 %,NNE,29.55 in,0.0 in,Haze,37421,TN,Summer,3 mph,0 mph,35.0261317,-85.1492504,TN 37421,2018-07-05,,,,,
490,106938,420600,,238160,"Employee Falls From Roof And Fractures Ankle, Sacrum","Abstract: At 8:00 a.m. on June 23, 2018, Employee #1, employed by a roofing company, was engaged in roof renovations at a two story commercial building. As he attempted to access the upper roof, he fell, a fall height of 29 feet. Emergency services transported the employee to the hospital, where he was admitted and treated for fractures to his ankle and sacrum.","Keywords: Ankle, Construction, Fall, Fall Protection, Fracture, Pelvis, Repair, Roof, Roofer, Sacroiliac",Commercial building,Alteration or rehabilitation,,29,,32,M,Hospitalized injury,Roofers,90,77,79.0,72.0,17,30.01,08:00:00,82 °F,77 °F,85 %,CALM,29.98 in,0.0 in,Fair,33912,FL,Summer,0 mph,0 mph,26.519665,-81.8301709,FL 33912,2018-06-23,,,,,
491,106954,420600,,238160,Employee Falls From Roof And Breaks Back,"Abstract: At 10:05 a.m. on June 22, 2018, Employee #1, employed by a roofing company, was engaged in roofing activity at a one-story structure. He lost his balance and fell from the roof. Emergency services transported the employee to the hospital, where he was admitted and treated for a fractured spine.","Keywords: Back, Construction, Fall, Fall Protection, Fracture, Lost Balance, Maintenance, Repair, Roof, Spine",Other building,Maintenance or repair,,,,30,M,Hospitalized injury,Roofers,91,81,77.0,72.0,14,29.98,10:05:00,82 °F,77 °F,85 %,WSW,29.97 in,0.4 in,Mostly Cloudy,34652,FL,Summer,7 mph,0 mph,28.2356637,-82.7302452,FL 34652,2018-06-22,,,,,
